UPC Code,Gender,,,,,,,
01573303702,Men,,,,,,,
01573303703,Women,,,,,,,
01573303704,Women,,,,,,,
01573303705,Women,,,,,,,
01573303706,Women,,,,,,,
1573302282,Women,,,,,,,
1573302283,Men,,,,,,,
1573302284,Women,,,,,,,
1573302412,Women,,,,,,,
1573302413,Men,,,,,,,
1573302414,Women,,,,,,,
1573302415,Men,,,,,,,
1573302501,Men,,,,,,,
1573302502,Men,,,,,,,
1573302503,Men,,,,,,,
1573302504,Men,,,,,,,
1573302505,Men,,,,,,,
1573302513,Men,,,,,,,
1573302514,Women,,,,,,,
1573302515,Men,,,,,,,
1573302516,Men,,,,,,,
01573310091,Men,,,,,,,
01573310092,Women,,,,,,,
01573310093,Men,,,,,,,
01573310094,Men,,,,,,,
01573310095,Women,,,,,,,
01573310151,Men,,,,,,,
01573310152,Women,,,,,,,
01573310153,Men,,,,,,,
01573310154,Men,,,,,,,
01573310155,Women,,,,,,,
01573310281,Women,,,,,,,
01573310282,Men,,,,,,,
01573310283,Women,,,,,,,
01573310284,Women,,,,,,,
01573310285,Women,,,,,,,
01573310291,Men,,,,,,,
01573310292,Women,,,,,,,
01573310293,Women,,,,,,,
01573310294,Women,,,,,,,
01573310295,Men,,,,,,,
01573310296,Women,,,,,,,
01573310341,Men,,,,,,,
01573310342,Men,,,,,,,
01573310343,Women,,,,,,,
01573310344,Men,,,,,,,
01573310345,Women,,,,,,,
01573310346,Women,,,,,,,
01573310371,Men,,,,,,,
01573310372,Women,,,,,,,
01573310373,Women,,,,,,,
01573310374,Women,,,,,,,
01573310375,Men,,,,,,,
01573310376,Women,,,,,,,
01573311691,Women,,,,,,,
01573311692,Men,,,,,,,
01573311693,Women,,,,,,,
01573311694,Women,,,,,,,
01573311695,Men,,,,,,,
01573311696,Women,,,,,,,
01573311701,Women,,,,,,,
01573311702,Men,,,,,,,
01573311703,Women,,,,,,,
01573311704,Women,,,,,,,
01573311712,Men,,,,,,,
01573311713,Women,,,,,,,
01573311715,Women,,,,,,,
01573311716,Men,,,,,,,
01573311741,Women,,,,,,,
01573311742,Men,,,,,,,
01573311743,Men,,,,,,,
01573311744,Men,,,,,,,
01573311745,Men,,,,,,,
01573311746,Men,,,,,,,
08187310142,Men,,,,,,,
08187310145,Women,,,,,,,
08187310146,Women,,,,,,,
08187310156,Women,,,,,,,
08187310165,Men,,,,,,,
08187310166,Women,,,,,,,
08187310172,Women,,,,,,,
08187310173,Men,,,,,,,
08187310174,Men,,,,,,,
08187310175,Women,,,,,,,
08187310176,Women,,,,,,,
08187310232,Men,,,,,,,
08187310233,Men,,,,,,,
08187310234,Women,,,,,,,
08187310235,Women,,,,,,,
08187310236,Women,,,,,,,
08187310482,Men,,,,,,,
08187310483,Men,,,,,,,
08187310484,Men,,,,,,,
08187310485,Men,,,,,,,
08187310486,Women,,,,,,,
08187310487,Women,,,,,,,
1573302271,Women,,,,,,,
1573302272,Men,,,,,,,
1573302275,Women,,,,,,,
1573310096,Women,,,,,,,
1573310482,Men,,,,,,,
1573310483,Women,,,,,,,
1573310484,Men,,,,,,,
1573310485,Women,,,,,,,
1573310642,Women,,,,,,,
1573310643,Women,,,,,,,
1573310722,Women,,,,,,,
1573310723,Men,,,,,,,
1573310724,Men,,,,,,,
1573310725,Men,,,,,,,
1573310726,Women,,,,,,,
1573310891,Men,,,,,,,
1573310892,Men,,,,,,,
1573310893,Men,,,,,,,
1573310894,Men,,,,,,,
1573310895,Men,,,,,,,
1573310896,Men,,,,,,,
1573310897,Women,,,,,,,
1573310911,Women,,,,,,,
1573310912,Men,,,,,,,
1573310913,Men,,,,,,,
1573310914,Women,,,,,,,
1573310915,Men,,,,,,,
1573310916,Men,,,,,,,
1573310941,Men,,,,,,,
1573310942,Women,,,,,,,
1573310943,Women,,,,,,,
1573310944,Women,,,,,,,
1573310945,Men,,,,,,,
1573310946,Men,,,,,,,
1573311961,Women,,,,,,,
1573311962,Men,,,,,,,
1573311963,Men,,,,,,,
1573311964,Men,,,,,,,
1573311965,Men,,,,,,,
1573311966,Men,,,,,,,
1573312451,Men,,,,,,,
1573312452,Men,,,,,,,
1573312453,Men,,,,,,,
1573312454,Women,,,,,,,
1573312455,Women,,,,,,,
1573312741,Men,,,,,,,
1573312742,Women,,,,,,,
1573312743,Women,,,,,,,
1573312744,Women,,,,,,,
1573312745,Women,,,,,,,
1573312746,Men,,,,,,,
1573312747,Men,,,,,,,
1573313012,Women,,,,,,,
1573313013,Women,,,,,,,
1573313014,Men,,,,,,,
1573313015,Men,,,,,,,
1573313016,Women,,,,,,,
1573313022,Men,,,,,,,
1573313023,Women,,,,,,,
1573313024,Women,,,,,,,
1573313025,Men,,,,,,,
1573313026,Women,,,,,,,
1573313361,Women,,,,,,,
1573313362,Women,,,,,,,
1573313363,Women,,,,,,,
1573313364,Men,,,,,,,
1573313365,Women,,,,,,,
1573313366,Men,,,,,,,
1573315101,Women,,,,,,,
1573315105,Women,,,,,,,
1573315113,Women,,,,,,,
1573315114,Women,,,,,,,
1573315115,Women,,,,,,,
1573315117,Men,,,,,,,
1573315161,Men,,,,,,,
1573315165,Men,,,,,,,
01170601042,Women,,,,,,,
01170601043,Women,,,,,,,
01170601044,Men,,,,,,,
01170601045,Men,,,,,,,
01170601046,Men,,,,,,,
01573301684,Women,,,,,,,
06622101002,Men,,,,,,,
06622101003,Men,,,,,,,
06622101004,Women,,,,,,,
06622101005,Women,,,,,,,
06622101006,Women,,,,,,,
06622101007,Women,,,,,,,
06622101012,Men,,,,,,,
06622101013,Women,,,,,,,
06622101014,Women,,,,,,,
06622101015,Women,,,,,,,
06622101016,Women,,,,,,,
06622101017,Women,,,,,,,
06622101032,Women,,,,,,,
06622101033,Men,,,,,,,
06622101034,Men,,,,,,,
06622101042,Men,,,,,,,
06622101043,Women,,,,,,,
06622101044,Women,,,,,,,
06622101045,Men,,,,,,,
06622101046,Men,,,,,,,
06622101052,Women,,,,,,,
06622101053,Women,,,,,,,
06622101054,Women,,,,,,,
06622101055,Men,,,,,,,
06622101056,Women,,,,,,,
06622101057,Women,,,,,,,
06622101062,Women,,,,,,,
06622101063,Men,,,,,,,
06622101064,Men,,,,,,,
06622101065,Women,,,,,,,
06622101066,Men,,,,,,,
06622101072,Men,,,,,,,
06622101073,Women,,,,,,,
06622101074,Men,,,,,,,
06622101075,Women,,,,,,,
06622101076,Women,,,,,,,
06622101077,Women,,,,,,,
06622101092,Men,,,,,,,
06622101093,Men,,,,,,,
06622101094,Women,,,,,,,
06622101095,Men,,,,,,,
06622101096,Men,,,,,,,
06622101097,Women,,,,,,,
06622101102,Men,,,,,,,
06622101103,Men,,,,,,,
06622101104,Men,,,,,,,
06622101105,Men,,,,,,,
06622101107,Women,,,,,,,
06622101112,Women,,,,,,,
06622101113,Women,,,,,,,
06622101114,Women,,,,,,,
06622101115,Men,,,,,,,
06622101116,Women,,,,,,,
06622101117,Women,,,,,,,
06622101122,Men,,,,,,,
06622101123,Men,,,,,,,
06622101124,Men,,,,,,,
06622101125,Women,,,,,,,
06622101126,Women,,,,,,,
06622101127,Women,,,,,,,
06622101132,Women,,,,,,,
06622101135,Men,,,,,,,
06622101136,Men,,,,,,,
06622101234,Men,,,,,,,
06622101235,Men,,,,,,,
06622101236,Men,,,,,,,
06622101242,Women,,,,,,,
06622101243,Women,,,,,,,
06622101244,Women,,,,,,,
06622101256,Men,,,,,,,
06622101265,Men,,,,,,,
06622101266,Women,,,,,,,
06622101272,Men,,,,,,,
06622101274,Men,,,,,,,
06622101275,Women,,,,,,,
06622101276,Women,,,,,,,
06622101282,Women,,,,,,,
06622101283,Men,,,,,,,
06622101284,Women,,,,,,,
06622101285,Women,,,,,,,
06622101286,Men,,,,,,,
06622101292,Women,,,,,,,
06622101293,Men,,,,,,,
06622101294,Women,,,,,,,
06622101295,Men,,,,,,,
06622101296,Women,,,,,,,
06622101302,Men,,,,,,,
06622101303,Women,,,,,,,
06622101304,Women,,,,,,,
06622101305,Men,,,,,,,
06622101306,Men,,,,,,,
06622101313,Women,,,,,,,
06622101315,Men,,,,,,,
06622101422,Women,,,,,,,
06622101423,Women,,,,,,,
06622101424,Men,,,,,,,
06622101425,Women,,,,,,,
06622101432,Men,,,,,,,
06622101433,Women,,,,,,,
06622101466,Women,,,,,,,
08187301013,Men,,,,,,,
08187301014,Women,,,,,,,
08187301015,Men,,,,,,,
08187301016,Men,,,,,,,
08187301034,Women,,,,,,,
08187301036,Men,,,,,,,
08187301192,Men,,,,,,,
08187301193,Women,,,,,,,
08187301194,Women,,,,,,,
08187301195,Women,,,,,,,
08187301196,Women,,,,,,,
08187301197,Men,,,,,,,
08187301212,Men,,,,,,,
08187301213,Men,,,,,,,
08187301214,Men,,,,,,,
08187301215,Men,,,,,,,
08187301216,Men,,,,,,,
08187301222,Men,,,,,,,
08187301223,Men,,,,,,,
08187301224,Women,,,,,,,
08187301225,Men,,,,,,,
08187301226,Men,,,,,,,
08187301232,Women,,,,,,,
08187301233,Men,,,,,,,
08187301234,Women,,,,,,,
08187301235,Men,,,,,,,
08187301236,Men,,,,,,,
08187301242,Men,,,,,,,
08187301243,Men,,,,,,,
08187301244,Women,,,,,,,
08187301245,Men,,,,,,,
08187301246,Men,,,,,,,
08187301273,Women,,,,,,,
08187301276,Women,,,,,,,
08187301432,Women,,,,,,,
08187301433,Women,,,,,,,
08187301434,Women,,,,,,,
08187301435,Men,,,,,,,
08187301436,Women,,,,,,,
08187301452,Men,,,,,,,
08187301453,Men,,,,,,,
08187301454,Women,,,,,,,
08187301455,Women,,,,,,,
08187301456,Men,,,,,,,
08187301457,Women,,,,,,,
08187301462,Women,,,,,,,
08187301463,Women,,,,,,,
08187301464,Women,,,,,,,
08187301465,Women,,,,,,,
08187301466,Men,,,,,,,
08187301472,Men,,,,,,,
08187301473,Women,,,,,,,
08187301474,Men,,,,,,,
08187301475,Men,,,,,,,
08187301476,Women,,,,,,,
08187301477,Women,,,,,,,
08187301532,Men,,,,,,,
08187301533,Women,,,,,,,
08187301534,Men,,,,,,,
08187301535,Women,,,,,,,
08187301536,Women,,,,,,,
08187301572,Men,,,,,,,
08187301573,Women,,,,,,,
08187301574,Men,,,,,,,
08187301575,Men,,,,,,,
08187301576,Women,,,,,,,
08187301592,Men,,,,,,,
08187301593,Women,,,,,,,
08187301594,Men,,,,,,,
08187301595,Men,,,,,,,
08187301596,Women,,,,,,,
08187301597,Men,,,,,,,
08187301617,Women,,,,,,,
08187301622,Women,,,,,,,
08187301623,Men,,,,,,,
08187301625,Men,,,,,,,
08187301626,Women,,,,,,,
08187301627,Men,,,,,,,
08187301632,Men,,,,,,,
08187301635,Men,,,,,,,
08187301642,Women,,,,,,,
08187301653,Women,,,,,,,
08187301655,Women,,,,,,,
08187301656,Women,,,,,,,
08187301657,Women,,,,,,,
08187301681,Men,,,,,,,
08187301682,Men,,,,,,,
08187301683,Women,,,,,,,
08187301684,Women,,,,,,,
08187301685,Women,,,,,,,
08187301686,Women,,,,,,,
08187301762,Women,,,,,,,
08187301763,Men,,,,,,,
08187301764,Women,,,,,,,
08187301765,Women,,,,,,,
08187301766,Men,,,,,,,
08187301772,Men,,,,,,,
08187301773,Women,,,,,,,
08187301774,Men,,,,,,,
08187301775,Women,,,,,,,
08187301776,Women,,,,,,,
08187301782,Women,,,,,,,
08187301783,Women,,,,,,,
08187301784,Women,,,,,,,
08187301785,Women,,,,,,,
08187301786,Men,,,,,,,
08187301792,Women,,,,,,,
08187301793,Men,,,,,,,
08187301794,Men,,,,,,,
08187301795,Women,,,,,,,
08187301796,Women,,,,,,,
08187301802,Women,,,,,,,
08187301803,Men,,,,,,,
08187301804,Men,,,,,,,
08187301805,Men,,,,,,,
08187301812,Women,,,,,,,
08187301813,Men,,,,,,,
08187301814,Men,,,,,,,
08187301815,Women,,,,,,,
08187301816,Women,,,,,,,
08187301817,Men,,,,,,,
08187301822,Women,,,,,,,
08187301823,Women,,,,,,,
08187301824,Women,,,,,,,
08187301825,Men,,,,,,,
08187301826,Women,,,,,,,
08187301832,Men,,,,,,,
08187301847,Women,,,,,,,
08187301883,Women,,,,,,,
08187301884,Men,,,,,,,
08187301885,Women,,,,,,,
08187301886,Women,,,,,,,
08187301932,Men,,,,,,,
08187301933,Men,,,,,,,
08187301934,Men,,,,,,,
08187301935,Men,,,,,,,
08187301936,Men,,,,,,,
08187301992,Women,,,,,,,
08187301993,Women,,,,,,,
08187301994,Women,,,,,,,
08187301995,Women,,,,,,,
08187301996,Women,,,,,,,
08187307013,Men,,,,,,,
08187307014,Women,,,,,,,
08187307015,Women,,,,,,,
1573302432,Men,,,,,,,
1573302433,Women,,,,,,,
1573302434,Women,,,,,,,
1573302435,Men,,,,,,,
1573302436,Women,,,,,,,
81873010112,Men,,,,,,,
1573302542,Women,,,,,,,
1573302543,Women,,,,,,,
1573302544,Men,,,,,,,
1573302545,Women,,,,,,,
04692301452,Women,,,,,,,
04692301453,Women,,,,,,,
04692301454,Men,,,,,,,
04692302442,Men,,,,,,,
04692302443,Women,,,,,,,
04692302444,Men,,,,,,,
04692310053,Men,,,,,,,
04692310054,Women,,,,,,,
04692310055,Women,,,,,,,
04692310056,Men,,,,,,,
04692310252,Women,,,,,,,
04692310253,Women,,,,,,,
04692310254,Men,,,,,,,
04692310255,Men,,,,,,,
04692310256,Men,,,,,,,
4692310931,Men,,,,,,,
4692310932,Women,,,,,,,
04692301782,Women,,,,,,,
04692301783,Women,,,,,,,
04692301785,Women,,,,,,,
04692301786,Men,,,,,,,
04692301792,Men,,,,,,,
04692301793,Women,,,,,,,
04692301802,Men,,,,,,,
04692301803,Men,,,,,,,
04692301804,Women,,,,,,,
04692301811,Men,,,,,,,
04692301812,Men,,,,,,,
04692301813,Women,,,,,,,
04692301814,Women,,,,,,,
04692301815,Women,,,,,,,
04692301821,Men,,,,,,,
04692301822,Men,,,,,,,
04692301823,Women,,,,,,,
04692301824,Men,,,,,,,
1573302331,Women,,,,,,,
1573302332,Men,,,,,,,
1573302333,Men,,,,,,,
1573302335,Men,,,,,,,
1573302341,Women,,,,,,,
1573302342,Women,,,,,,,
1573302343,Women,,,,,,,
1573302344,Men,,,,,,,
1573302345,Men,,,,,,,
04692301102,Women,,,,,,,
04692301103,Men,,,,,,,
04692301104,Men,,,,,,,
04692301106,Women,,,,,,,
04692301112,Men,,,,,,,
04692301113,Men,,,,,,,
04692301114,Men,,,,,,,
04692301115,Men,,,,,,,
04692301116,Women,,,,,,,
04692301122,Women,,,,,,,
04692301123,Men,,,,,,,
04692301124,Men,,,,,,,
04692301125,Men,,,,,,,
04692301126,Women,,,,,,,
04692301133,Men,,,,,,,
04692301134,Women,,,,,,,
04692301135,Men,,,,,,,
04692301136,Men,,,,,,,
04692301252,Men,,,,,,,
04692301253,Men,,,,,,,
04692301254,Women,,,,,,,
04692301255,Men,,,,,,,
04692301602,Women,,,,,,,
04692301603,Women,,,,,,,
04692301604,Women,,,,,,,
04692301605,Men,,,,,,,
04692301606,Men,,,,,,,
04692301607,Women,,,,,,,
04692310021,Women,,,,,,,
04692310023,Women,,,,,,,
04692310024,Men,,,,,,,
04692310025,Men,,,,,,,
04692310026,Men,,,,,,,
04692310031,Men,,,,,,,
04692310032,Women,,,,,,,
04692310033,Men,,,,,,,
04692310034,Men,,,,,,,
04692310035,Men,,,,,,,
04692310042,Women,,,,,,,
04692310044,Women,,,,,,,
04692310045,Men,,,,,,,
04692310046,Men,,,,,,,
04692310263,Men,,,,,,,
04692310264,Women,,,,,,,
04692310265,Men,,,,,,,
04692310266,Women,,,,,,,
4692302461,Women,,,,,,,
4692302462,Women,,,,,,,
4692302463,Women,,,,,,,
4692302464,Women,,,,,,,
4692302465,Men,,,,,,,
4692302466,Men,,,,,,,
4692302471,Women,,,,,,,
4692302473,Men,,,,,,,
4692302474,Men,,,,,,,
4692302475,Men,,,,,,,
4692304272,Women,,,,,,,
4692310942,Men,,,,,,,
4692310943,Men,,,,,,,
4692310944,Men,,,,,,,
4692310945,Women,,,,,,,
04692301022,Men,,,,,,,
04692301023,Women,,,,,,,
04692301024,Women,,,,,,,
04692301025,Women,,,,,,,
04692301032,Women,,,,,,,
04692301033,Women,,,,,,,
04692301034,Women,,,,,,,
04692301035,Women,,,,,,,
04692301036,Women,,,,,,,
04692301043,Women,,,,,,,
04692301044,Men,,,,,,,
04692301045,Women,,,,,,,
04692301046,Men,,,,,,,
04692301052,Men,,,,,,,
04692301053,Women,,,,,,,
04692301054,Men,,,,,,,
04692301055,Men,,,,,,,
04692301056,Women,,,,,,,
04692301072,Women,,,,,,,
04692301073,Women,,,,,,,
04692301074,Men,,,,,,,
04692301075,Women,,,,,,,
04692301076,Women,,,,,,,
04692301142,Men,,,,,,,
04692301143,Men,,,,,,,
04692301144,Women,,,,,,,
04692301145,Women,,,,,,,
04692301146,Men,,,,,,,
04692301164,Men,,,,,,,
04692301165,Men,,,,,,,
04692301166,Women,,,,,,,
04692301202,Men,,,,,,,
04692301292,Men,,,,,,,
04692301293,Men,,,,,,,
04692301294,Women,,,,,,,
04692301295,Women,,,,,,,
04692301296,Men,,,,,,,
04692301433,Men,,,,,,,
04692301434,Men,,,,,,,
04692301435,Women,,,,,,,
04692301436,Women,,,,,,,
04692301442,Men,,,,,,,
04692301443,Men,,,,,,,
04692301444,Men,,,,,,,
04692301445,Men,,,,,,,
04692301446,Men,,,,,,,
04692301472,Women,,,,,,,
04692301473,Men,,,,,,,
04692301474,Women,,,,,,,
04692301475,Women,,,,,,,
04692301542,Women,,,,,,,
04692301545,Men,,,,,,,
04692301546,Men,,,,,,,
04692301552,Men,,,,,,,
04692301553,Women,,,,,,,
04692301554,Men,,,,,,,
04692301555,Women,,,,,,,
04692301556,Men,,,,,,,
04692301557,Women,,,,,,,
04692301564,Men,,,,,,,
04692301565,Men,,,,,,,
04692301566,Men,,,,,,,
04692301593,Men,,,,,,,
04692301643,Men,,,,,,,
04692301646,Men,,,,,,,
04692301702,Women,,,,,,,
04692301703,Men,,,,,,,
04692301704,Women,,,,,,,
04692301712,Men,,,,,,,
04692301713,Men,,,,,,,
04692301714,Men,,,,,,,
04692301715,Men,,,,,,,
04692301716,Women,,,,,,,
04692301722,Men,,,,,,,
04692301723,Women,,,,,,,
04692301724,Men,,,,,,,
04692301725,Men,,,,,,,
04692301726,Women,,,,,,,
04692301732,Women,,,,,,,
04692301733,Women,,,,,,,
04692301734,Men,,,,,,,
04692301735,Men,,,,,,,
04692301736,Women,,,,,,,
04692301772,Men,,,,,,,
04692301773,Women,,,,,,,
04692301774,Men,,,,,,,
04692301775,Men,,,,,,,
04692301776,Women,,,,,,,
04692301911,Men,,,,,,,
04692301912,Men,,,,,,,
04692301913,Women,,,,,,,
04692301914,Men,,,,,,,
04692301915,Women,,,,,,,
